UNITNAME,code,colour
Boondooma Igneous Complex-PRgbo/ga,PRgbo/ga,#ffd9ff
Boondooma Igneous Complex-Rgbo,Rgbo,#db91db
Boorama Tank gneiss,PLgbt,#ff5cc7
Boori Igneous Complex/1,Pgb/1,#ff404c
Boori Igneous Complex/2,Pgb/2,#ff6673
Boori Igneous Complex/3,Pgb/3,#ff8c99
Boori Igneous Complex/a,Pgb/a,#ff2633
Boot Granite,Cgtb,#f54747
Borneo Granodiorite/1,Cgobo/1,#ff78ab
Borneo Granodiorite/2,Cgobo/2,#ff99cc
Borneo Granodiorite/l1,Cgobo\l1,#ff5285
Borneo Granodiorite/l2,Cgobo/l2,#ffabc4
Boroston Formation,Cuo,#818599
Bortala Formation,PLhb,#b34026
Bortala Formation/0,PLhb/0,#ffd9b3
Bortala Formation/1,PLhb/1,#ffb38c
Bortala Formation/2,PLhb/2,#ff8c73
Bortala Formation/3,PLhb/3,#e67359
Bortala Formation/q,PLhb/q,#cc5940
Bortala Formation?,PLhb?,#b34026
Bosworth Gabbro,Pgbw,#ab94ff
Bottletree Formation,PLt,#754033
Bottletree Formation/b,PLt/b,#dba699
Bottletree Formation/cg,PLt/cg,#a87366
Bottletree Formation?,PLt?,#754033
Boulder Peak Granite,Cgto,#d69dbc
Bourgamba Microgranite,Pgco,#a80084
Bousey Rhyolite/1,Cnu/1,#594c59
Bousey Rhyolite/1a,Cnu/1a,#736673
Bousey Rhyolite/1b,Cnu/1b,#f2e6f2
Bousey Rhyolite/2,Cnu/2,#a699a6
Bousey Rhyolite/2a,Cnu/2a,#8c808c
Bousey Rhyolite/2b,Cnu/2b,#d9ccd9
Bousey Rhyolite/2c,Cnu/2c,#bfb3bf
Bousey Rhyolite/2f,Cnu/2f,#a699a6
Bousey Rhyolite/s,Cnu/s,#9e85a6
Bowler Creek Granite,PLgbc,#cc3366
Bowlers Hole Granite,PLgww,#bf285d
Bowthorn Member,PLscb,#e6b373
Bowthorn Member?,PLscb?,#e6b373
Box Forest Quartz Diorite,Ogbf,#f5479c
Boxvale Sandstone Member,Jev/b,#8cf2f7
Boxwood Volcanics,Cvd,#999999
Bracteata Mudstone,Dwr,#784fbd
Branch Creek Rhyolite,Cgi,#ffb359
Brandy Hot Granodiorite,PLgby,#f233f2
Brandy Hot Granodiorite?,PLgby?,#f233f2
Breakaway Shale,PLib,#66573d
Breakaway Shale/h,PLib/h,#998a70
Breccia Creek Rhyolite,CPvb,#99adad
Breccia Creek Rhyolite/1,CPvb/1,#b3c7c7
Breccia Creek Rhyolite/1v,CPv/1v,#809494
Breccia Creek Rhyolite/a,CPvb/1a,#e0e0e0
Breccia-Amethyst Castle,PLbx,#9e340a
Briar Granite,PLgsb,#eb006b
Brinagee Schist,EOab,#c461c9
Brittania Granodiorite,SDgr,#f57ab6
Brittania Granodiorite/mg,SDgr/mg,#ff4263
Brittany Granite,Ogbr,#f58cc7
Brodies Camp Supersuite/g,Pgr/g,#ff2952
Brodies Camp Supersuite/gd,Pgr/gd,#ff6370
Brodies Camp Supersuite/gd?,Pgr/gd?,#ff6370
Brodies Camp Supersuite/p,Pgr/p,#fc3370
Brodies Gap Rhyolite,Pnb,#4cb3e6
Brodies Gap Rhyolite/1,Pnb/1,#3399cc
Brodies Gap Rhyolite/2,Pnb/2,#66ccff
Brodies Gap Rhyolite/3,Pnb/3,#1980b3
Brodies Gap Rhyolite/3r,Pnb/3r,#a6e6ff
Brodies Gap Rhyolite/4,Pnb/4,#006699
Brodies Gap Rhyolite?,Pnb?,#4cb3e6
Bromley Hills Formation/s,Dlr/s,#ccb3ff
Bromley Hills Formation/t,Dlr/t,#a68cff
Brook Complex,ODcb,#f2bff2
Brookdale Granite,OSgb,#ffa699
Brookers Waterhole Granite,Cgok,#c21969
Broughton River Granodiorite,SDgb,#ed3338
Broughton River Granodiorite/m,SDgb/m,#ed595e
Broughton River Granodiorite/t,SDgb/t,#ffb3c9
Brown Mountain Granite,CPgw,#e06699
Brownville Granite,Cgtr,#ff5978
Brumby Granite,Cgtm,#ff5500
Brumby Sandstone Member,Rrsb,#2eb8ff
Buaraba Mudstone,Pccb,#739eff
Buaraba Mudstone/aa,Psb/aa,#5985ff
Buaraba Mudstone/sa,Psb/sa,#406bf7
Bubbling Granodiorite,Dgbl,#cc5966
Bucket Hole Metavolcanics/a,PLbh/a,#a67366
Bucket Hole Metavolcanics/a?,PLbh/a?,#a67366
Bucket Hole Metavolcanics/b,PLbh/b,#bf8c80
Bucket Hole Metavolcanics/b?,PLbh/b?,#bf8c80
Bucklands Hill Diorite,Egb,#6940ff
Buddawadda Basalt Member,PLvpb,#8c8a5e
Bularnu Formation,PLbu,#f0dbb8
Bulgeri Formation,Duu,#8261b3
Bulgeri Formation/a,Duu/a,#b5ade6
Bulgeri Formation/c,Duu/c,#9c94cc
Bulgeri Formation?,Duu?,#8261b3
