,X,Y,Z,val,feature_name,nx,ny,nz
104,550551.810547,7819969.71875,-9472.650391,250.0,strati,,,
105,550551.810547,7819950.9492190005,-9475.419922,250.0,strati,,,
106,550551.810547,7819932.179688,-9479.799805,250.0,strati,,,
107,550551.810547,7819913.4101559995,-9489.719727,250.0,strati,,,
108,550551.810547,7819894.640625,-9497.320313,250.0,strati,,,
109,550551.810547,7819875.867188,-9500.040039,250.0,strati,,,
110,550551.810547,7819857.0976559995,-9506.040039,250.0,strati,,,
111,550551.810547,7819838.328125,-9515.080078,250.0,strati,,,
112,550551.810547,7819819.5585940005,-9517.389648,250.0,strati,,,
113,550551.810547,7819800.789063,-9522.620117,250.0,strati,,,
114,550551.810547,7819782.0195309995,-9527.360352,250.0,strati,,,
115,550551.810547,7819763.25,-9529.709961,250.0,strati,,,
116,550551.810547,7819744.4804690005,-9530.349609,250.0,strati,,,
117,550551.810547,7819725.710938,-9536.240234,250.0,strati,,,
118,550551.810547,7819706.9375,-9533.030273,250.0,strati,,,
119,550551.810547,7819688.1679690005,-9536.25,250.0,strati,,,
120,550551.810547,7819669.398438,-9530.580078,250.0,strati,,,
121,550551.810547,7819650.6289059995,-9530.410156,250.0,strati,,,
122,550551.810547,7819631.859375,-9525.30957,250.0,strati,,,
123,550551.810547,7819613.0898440005,-9522.730469,250.0,strati,,,
124,550551.810547,7819594.320313,-9519.5,250.0,strati,,,
125,550551.810547,7819575.5507809995,-9513.769531,250.0,strati,,,
126,550551.810547,7819556.7773440005,-9508.400391,250.0,strati,,,
127,550551.810547,7819538.007813,-9505.370117,250.0,strati,,,
128,550551.810547,7819519.2382809995,-9501.400391,250.0,strati,,,
129,550551.810547,7819500.46875,-9495.009766,250.0,strati,,,
130,550551.810547,7819481.6992190005,-9492.599609,250.0,strati,,,
131,550551.810547,7819462.929688,-9491.519531,250.0,strati,,,
132,550551.810547,7819444.1601559995,-9490.419922,250.0,strati,,,
133,550551.810547,7819425.390625,-9489.94043,250.0,strati,,,
134,550551.810547,7819406.617188,-9487.169922,250.0,strati,,,
135,550551.810547,7819387.851563,-9482.80957,250.0,strati,,,
136,550551.810547,7819369.078125,-9473.379883,250.0,strati,,,
137,550551.810547,7819350.3085940005,-9460.860352,250.0,strati,,,
138,550551.810547,7819331.539063,-9451.769531,250.0,strati,,,
139,550551.810547,7819312.7695309995,-9443.080078,250.0,strati,,,
140,550551.810547,7819294.0,-9432.429688,250.0,strati,,,
141,550551.810547,7819275.2304690005,-9424.679688,250.0,strati,,,
142,550551.810547,7819256.4570309995,-9417.700195,250.0,strati,,,
143,550551.810547,7819237.6875,-9412.150391,250.0,strati,,,
144,550551.810547,7819218.9179690005,-9410.629883,250.0,strati,,,
145,550551.810547,7819200.148438,-9413.889648,250.0,strati,,,
146,550551.810547,7819181.3789059995,-9420.259766,250.0,strati,,,
147,550551.810547,7819162.609375,-9431.69043,250.0,strati,,,
148,550551.810547,7819143.8398440005,-9444.200195,250.0,strati,,,
149,550551.810547,7819125.070313,-9453.589844,250.0,strati,,,
150,550551.810547,7819106.3007809995,-9460.419922,250.0,strati,,,
151,550551.810547,7819087.5273440005,-9472.530273,250.0,strati,,,
152,550551.810547,7819068.757813,-9484.950195,250.0,strati,,,
153,550551.810547,7819049.9882809995,-9490.139648,250.0,strati,,,
154,550551.810547,7819031.21875,-9493.950195,250.0,strati,,,
155,550551.810547,7819012.4492190005,-9500.0,250.0,strati,,,
156,550551.810547,7818993.679688,-9506.980469,250.0,strati,,,
157,550551.810547,7818974.9101559995,-9515.009766,250.0,strati,,,
158,550551.810547,7818956.140625,-9524.700195,250.0,strati,,,
159,550551.810547,7818937.367188,-9532.80957,250.0,strati,,,
160,550551.810547,7818918.5976559995,-9541.070313,250.0,strati,,,
161,550551.810547,7818899.828125,-9547.94043,250.0,strati,,,
162,550551.810547,7818881.0585940005,-9552.839844,250.0,strati,,,
163,550551.810547,7818862.289063,-9563.410156,250.0,strati,,,
164,550551.810547,7818843.5195309995,-9579.110352,250.0,strati,,,
165,550551.810547,7818824.75,-9589.370117,250.0,strati,,,
166,550551.810547,7818805.9804690005,-9596.870117,250.0,strati,,,
