X,Y,Z,azimuth,dip,polarity,formation,source
530486.753618385,7515381.985769816,723.0732633307572,30.646182177947423,48.21870104803615,1,Brockman_Iron_Formation,contact_orientations
530711.263139605,7516047.4955214895,972.5000881962394,86.85753589433875,34.28237028027358,1,Brockman_Iron_Formation,contact_orientations
546243.9196485849,7515345.660445815,796.2865320937171,205.79845566414792,24.23546046705632,1,Brockman_Iron_Formation,contact_orientations
544887.4319565999,7514945.6582960095,841.7355459015222,310.8184253339912,20.225666795676048,1,Brockman_Iron_Formation,contact_orientations
544076.99890803,7513046.905069346,716.2000773109696,277.5324735558436,12.243520330184992,1,Brockman_Iron_Formation,contact_orientations
543052.331180725,7512458.154400385,797.0976674313806,26.21387442755946,13.373747032558924,1,Brockman_Iron_Formation,contact_orientations
542099.109158005,7512442.42436254,759.6693284379246,220.41554370955907,12.224564696548498,1,Brockman_Iron_Formation,contact_orientations
542927.265687645,7510332.90579376,773.5150294155505,274.99323340784514,17.3285601928892,1,Brockman_Iron_Formation,contact_orientations
542192.7832881149,7508488.910010615,672.6954926619155,263.7962036680176,16.638488756788703,1,Brockman_Iron_Formation,contact_orientations
541380.180791145,7505910.400110475,683.0766668857407,331.49983854962386,13.575451617292616,1,Brockman_Iron_Formation,contact_orientations
538708.0356038299,7504254.15476099,732.4663078235392,335.71796997523427,28.468614163935904,1,Brockman_Iron_Formation,contact_orientations
536098.4599742,7503988.39708473,705.5103379520393,5.051859087770026,21.70777876766664,1,Brockman_Iron_Formation,contact_orientations
534707.68440157,7502332.12555179,710.0678575829729,255.71309153210743,6.545276594420798,1,Brockman_Iron_Formation,contact_orientations
531976.3797597026,7502106.157690957,663.0,336.8253047539158,24.94024159545448,1,Brockman_Iron_Formation,contact_orientations
528457.06442511,7501722.55503403,565.2264507173505,346.35241885894595,34.37820818894352,1,Brockman_Iron_Formation,contact_orientations
547196.86720726,7509847.39038322,578.4011757827594,299.0434950543328,12.46964591092052,1,Jeerinah_Formation,contact_orientations
546776.6107238049,7508408.3966918,579.4865250239177,299.3042749609093,12.059623913936122,1,Jeerinah_Formation,contact_orientations
546222.635345025,7506937.892936135,565.744157010883,317.79633034620554,5.87276736337823,1,Jeerinah_Formation,contact_orientations
545122.87134142,7505034.410607435,544.5667765637219,294.483973127519,11.689876962924572,1,Jeerinah_Formation,contact_orientations
543555.256042425,7503041.40492044,536.5072287477556,310.92984627027164,24.18347323566593,1,Jeerinah_Formation,contact_orientations
540651.6345203449,7500931.140097884,545.8109778640784,337.0992953883026,24.56117026124602,1,Jeerinah_Formation,contact_orientations
