X,Y,Z,name
527179.35841707,7512292.11861239,626.0982056018433,Brockman_Iron_Formation
529082.38106679,7512568.19015911,745.2419009933747,Brockman_Iron_Formation
529892.52033635,7513079.69810155,748.4041470536953,Brockman_Iron_Formation
530099.42050291,7513784.71054115,711.8614653734439,Brockman_Iron_Formation
529694.6298466,7514468.70040679,640.8426532968383,Brockman_Iron_Formation
530218.74973763,7514643.22044265,663.8298037046951,Brockman_Iron_Formation
530826.1293182,7514807.238458,688.3412228550447,Brockman_Iron_Formation
530830.25874388,7514986.23843761,710.6894454807712,Brockman_Iron_Formation
530488.41843453,7515419.23045467,734.3055146712646,Brockman_Iron_Formation
530702.4178876,7516200.23931346,965.0621101693202,Brockman_Iron_Formation
546961.2883834778,7516341.01,955.3266185192372,Brockman_Iron_Formation
546176.47863223,7515206.16060613,754.9033183397398,Brockman_Iron_Formation
544514.33162234,7514718.6588027,864.2628464860852,Brockman_Iron_Formation
544110.92760647,7512830.14889005,699.4523655151207,Brockman_Iron_Formation
542771.04011075,7512583.15959476,781.302562138369,Brockman_Iron_Formation
542270.97875475,7512270.6687916,760.7335760469384,Brockman_Iron_Formation
542927.26999918,7509989.15085108,790.5767440091647,Brockman_Iron_Formation
542677.24168743,7509082.66245721,766.2504834216982,Brockman_Iron_Formation
542145.9084492,7508332.65926824,689.4828221585062,Brockman_Iron_Formation
541145.7601317,7505676.14855006,714.2579565015727,Brockman_Iron_Formation
538364.25997959,7504113.66011445,704.9321563527856,Brockman_Iron_Formation
535926.55161838,7503894.65193591,752.4348350926151,Brockman_Iron_Formation
534488.93889665,7502207.12011758,673.4646447133354,Brockman_Iron_Formation
532415.328859181,7501872.491963996,664.529698004287,Brockman_Iron_Formation
532120.3903023152,7502161.713867484,667.93100292081,Brockman_Iron_Formation
531832.36921709,7502050.60151443,663.0,Brockman_Iron_Formation
528269.54911085,7501675.54946632,566.4798038909242,Brockman_Iron_Formation
547764.9297779603,7510350.434752032,579.3554281216201,Jeerinah_Formation
547123.42154846,7509784.1305715,571.7252054761133,Jeerinah_Formation
546760.17189473,7508297.15162212,583.0914823317092,Jeerinah_Formation
546098.20918874,7506843.14860294,565.8098788036768,Jeerinah_Formation
544943.52183298,7504761.65970015,537.2108115014281,Jeerinah_Formation
543357.14034919,7502835.65126185,526.3243456627538,Jeerinah_Formation
540434.9686215,7500840.14040923,540.745417618144,Jeerinah_Formation
538476.5108094,7499571.63122786,512.8057643355977,Jeerinah_Formation
536356.47019615,7499080.11950446,505.59738757398,Jeerinah_Formation
535866.53942217,7499031.61027688,522.9002580902734,Jeerinah_Formation
534225.2438334881,7499178.531705108,511.8260137633797,Jeerinah_Formation
534326.9077286279,7499001.033844557,513.44705445313,Jeerinah_Formation
533821.50949274,7499055.60058806,508.0789933208286,Jeerinah_Formation
531257.250016,7499404.57940736,520.3492137412013,Jeerinah_Formation
530073.73089448,7499647.07012578,513.9054209691499,Jeerinah_Formation
527979.74929199,7499328.5417763,508.5083839564929,Jeerinah_Formation
525344.555691165,7499018.081952954,503.809707478582,Jeerinah_Formation
525323.5354382728,7499014.580489381,505.8216766672733,Jeerinah_Formation
523301.6697770379,7498630.076919503,502.0594484090861,Jeerinah_Formation
523421.171001496,7498427.463981763,502.1747711188603,Jeerinah_Formation
521882.68120584,7497821.95909606,492.2783490703225,Jeerinah_Formation
519791.94103308575,7497415.959913789,501.8939603256919,Jeerinah_Formation
520201.7087654752,7496264.298594779,511.15128159505554,Jeerinah_Formation
519908.90890563,7495993.45121334,511.2818190530504,Jeerinah_Formation
551978.745,7513143.380467468,625.43460677331,Jeerinah_Formation
550324.67076872,7512949.12177085,616.5955376486859,Jeerinah_Formation
549303.43178106,7512159.1309947,602.3582268283327,Jeerinah_Formation
548689.44884283,7511449.62852403,606.0332875787933,Jeerinah_Formation
548249.1553871729,7510802.59391084,588.5910913794054,Jeerinah_Formation
548265.4405433658,7510615.782459535,592.1735284684428,Jeerinah_Formation
548214.5917594,7510548.64063064,591.0980777438372,Jeerinah_Formation
519572.569,7511161.753710989,639.9096773695934,Marra_Mamba_Iron_Formation
521299.68208722,7511585.50888136,596.4104895494936,Marra_Mamba_Iron_Formation
522447.1489635291,7512082.747411763,574.6619268875659,Marra_Mamba_Iron_Formation
522467.1025051157,7512095.046156631,577.2129407118839,Marra_Mamba_Iron_Formation
522695.6716395,7512272.0405713,591.6401698362984,Marra_Mamba_Iron_Formation
523666.98023143,7513234.03881733,619.1285435288445,Marra_Mamba_Iron_Formation
524713.43882236,7515278.04162679,628.0874312387529,Marra_Mamba_Iron_Formation
524794.56922212,7516283.02740676,672.5593549506334,Marra_Mamba_Iron_Formation
551978.745,7514891.332077501,675.1395282111521,Marra_Mamba_Iron_Formation
550096.13010182,7514357.12942362,707.3965184468451,Marra_Mamba_Iron_Formation
548011.9994174,7513394.63908372,687.9281326802927,Marra_Mamba_Iron_Formation
