,X,Y,Z,val,coord,type,dip,strike,event,Unnamed: 6
102,7655.333266,4373.080693999999,4000.0,,0,,90.000346,270.0,2.0,
103,7655.333266,4373.080693999999,4000.0,,0,fault,44.99948,219.999808,3.0,
104,7655.333266,4373.080693999999,4000.0,,0,s0,57.353469999999994,331.169826,4.0,
105,5136.791276,3501.4267549999995,4000.0,,0,,57.353469999999994,331.169826,0.0,
106,5136.791276,3501.4267549999995,4000.0,,0,s1,89.999654,179.999654,1.0,
107,5136.791276,3501.4267549999995,4000.0,,0,,90.000346,270.0,2.0,
108,5136.791276,3501.4267549999995,4000.0,,0,fault,44.99948,219.999808,3.0,
109,5136.791276,3501.4267549999995,4000.0,,0,s0,55.694691000000006,262.055576,4.0,
110,3670.973378,1458.2051179999999,4000.0,,0,,55.694691000000006,262.055576,0.0,
111,3670.973378,1458.2051179999999,4000.0,,0,s1,90.000346,359.999654,1.0,
112,3670.973378,1458.2051179999999,4000.0,,0,,89.999654,90.0,2.0,
113,3670.973378,1458.2051179999999,4000.0,,0,fault,44.99948,219.999808,3.0,
114,3670.973378,1458.2051179999999,4000.0,,0,s0,61.185292000000004,401.219527,4.0,
115,4296.016154,606.698367,4000.0,,0,,61.185292000000004,401.219527,0.0,
116,4296.016154,606.698367,4000.0,,0,s1,89.999654,179.999654,1.0,
117,4296.016154,606.698367,4000.0,,0,,90.000346,270.0,2.0,
118,4296.016154,606.698367,4000.0,,0,fault,44.99948,219.999808,3.0,
119,4296.016154,606.698367,4000.0,,0,s0,58.081549,332.04180099999996,4.0,
120,863.387826,5885.227343,4000.0,,0,,58.081549,332.04180099999996,0.0,
121,863.387826,5885.227343,4000.0,,0,s1,90.000346,359.999654,1.0,
122,863.387826,5885.227343,4000.0,,0,,90.000346,270.0,2.0,
123,863.387826,5885.227343,4000.0,,0,fault,44.99948,219.999808,3.0,
124,863.387826,5885.227343,4000.0,,0,s0,56.749151,440.744528,4.0,
125,3309.2018989999997,3756.4762619999997,4000.0,,0,,56.749151,440.744528,0.0,
126,3309.2018989999997,3756.4762619999997,4000.0,,0,s1,90.000346,359.999654,1.0,
127,3309.2018989999997,3756.4762619999997,4000.0,,0,,89.999654,90.0,2.0,
128,3309.2018989999997,3756.4762619999997,4000.0,,0,fault,44.99948,219.999808,3.0,
129,3309.2018989999997,3756.4762619999997,4000.0,,0,s0,60.442679000000005,293.708482,4.0,
130,8065.381934999999,487.984282,4000.0,,0,,60.442679000000005,293.708482,0.0,
131,8065.381934999999,487.984282,4000.0,,0,s1,90.000346,359.999654,1.0,
132,8065.381934999999,487.984282,4000.0,,0,,90.000346,270.0,2.0,
133,8065.381934999999,487.984282,4000.0,,0,fault,44.99948,219.999808,3.0,
134,8065.381934999999,487.984282,4000.0,,0,s0,55.254780000000004,349.594311,4.0,
135,3867.363072,6370.326718,4000.0,,0,,55.254780000000004,349.594311,0.0,
136,3867.363072,6370.326718,4000.0,,0,s1,90.000346,359.999654,1.0,
137,3867.363072,6370.326718,4000.0,,0,,90.000346,270.0,2.0,
138,3867.363072,6370.326718,4000.0,,0,fault,44.99948,219.999808,3.0,
139,3867.363072,6370.326718,4000.0,,0,s0,59.489681000000004,386.32991699999997,4.0,
140,6818.7577200000005,6249.7566640000005,4000.0,,0,,59.489681000000004,386.32991699999997,0.0,
141,6818.7577200000005,6249.7566640000005,4000.0,,0,s1,90.000346,359.999654,1.0,
142,6818.7577200000005,6249.7566640000005,4000.0,,0,,89.999654,90.0,2.0,
143,6818.7577200000005,6249.7566640000005,4000.0,,0,fault,44.99948,219.999808,3.0,
144,6818.7577200000005,6249.7566640000005,4000.0,,0,s0,38.366613,108.05158999999999,4.0,
145,1446.249839,5377.847751,4000.0,,0,,38.366613,108.05158999999999,0.0,
146,1446.249839,5377.847751,4000.0,,0,s1,90.000346,359.999654,1.0,
147,1446.249839,5377.847751,4000.0,,0,,89.999654,90.0,2.0,
148,1446.249839,5377.847751,4000.0,,0,fault,44.99948,219.999808,3.0,
149,1446.249839,5377.847751,4000.0,,0,s0,61.458486,127.860496,4.0,
150,5499.604015999999,1774.5323809999998,4000.0,,0,,61.458486,127.860496,0.0,
151,5499.604015999999,1774.5323809999998,4000.0,,0,s1,90.000346,359.999654,1.0,
152,5499.604015999999,1774.5323809999998,4000.0,,0,,90.000346,270.0,2.0,
153,5499.604015999999,1774.5323809999998,4000.0,,0,fault,44.99948,219.999808,3.0,
154,5499.604015999999,1774.5323809999998,4000.0,,0,s0,63.084618000000006,124.94995800000001,4.0,
155,2554.06873,68.690287,4000.0,,0,,63.084618000000006,124.94995800000001,0.0,
156,2554.06873,68.690287,4000.0,,0,s1,90.000346,359.999654,1.0,
157,2554.06873,68.690287,4000.0,,0,,90.000346,270.0,2.0,
158,2554.06873,68.690287,4000.0,,0,fault,44.99948,219.999808,3.0,
159,2554.06873,68.690287,4000.0,,0,s0,62.739084999999996,236.208938,4.0,
160,8615.93886,1745.1985280000001,4000.0,,0,,62.739084999999996,236.208938,0.0,
161,8615.93886,1745.1985280000001,4000.0,,0,s1,89.999654,179.999654,1.0,
162,8615.93886,1745.1985280000001,4000.0,,0,,90.000346,270.0,2.0,
163,8615.93886,1745.1985280000001,4000.0,,0,fault,44.99948,219.999808,3.0,
164,8615.93886,1745.1985280000001,4000.0,,0,s0,56.749151,440.744528,4.0,
165,7405.7211480000005,4470.235798,4000.0,,0,,56.749151,440.744528,0.0,
166,7405.7211480000005,4470.235798,4000.0,,0,s1,89.999654,179.999654,1.0,
167,7405.7211480000005,4470.235798,4000.0,,0,,90.000346,270.0,2.0,
168,7405.7211480000005,4470.235798,4000.0,,0,fault,44.99948,219.999808,3.0,
169,7405.7211480000005,4470.235798,4000.0,,0,s0,53.600841,326.296232,4.0,
170,7732.101209,1115.505664,4000.0,,0,,53.600841,326.296232,0.0,
171,7732.101209,1115.505664,4000.0,,0,s1,90.000346,359.999654,1.0,
172,7732.101209,1115.505664,4000.0,,0,,89.999654,90.0,2.0,
173,7732.101209,1115.505664,4000.0,,0,fault,44.99948,219.999808,3.0,
174,7732.101209,1115.505664,4000.0,,0,s0,62.667382999999994,398.253365,4.0,
175,2015.987,4323.256743,4000.0,,0,,62.667382999999994,398.253365,0.0,
176,2015.987,4323.256743,4000.0,,0,s1,90.000346,359.999654,1.0,
177,2015.987,4323.256743,4000.0,,0,,90.000346,270.0,2.0,
178,2015.987,4323.256743,4000.0,,0,fault,44.99948,219.999808,3.0,
179,2015.987,4323.256743,4000.0,,0,s0,62.77409399999999,216.122888,4.0,
180,7080.901008,3038.250421,4000.0,,0,,62.77409399999999,216.122888,0.0,
181,7080.901008,3038.250421,4000.0,,0,s1,89.999654,179.999654,1.0,
182,7080.901008,3038.250421,4000.0,,0,,90.000346,270.0,2.0,
